TableInfo,[Sal],[Ery],[Cm],[Tmp],[Ofl],[Dox],[Linc],g
1,0.0,0.030831066213056858,0.01317295272429905,0.0,0.0,0.0,0.0,0.7
1,0.031489832885448085,0.0,0.017563936965732066,0.0,0.0,0.0,0.0,0.76
1,0.0,0.030831066213056858,0.017563936965732066,0.0,0.0,0.0,0.0,0.67
1,0.031489832885448085,0.0,0.021954921207165082,0.0,0.0,0.0,0.0,0.76
1,0.031489832885448085,0.0,0.0263459054485981,0.0,0.0,0.0,0.0,0.75
1,0.0,0.030831066213056858,0.0263459054485981,0.0,0.0,0.0,0.0,0.54
1,0.031489832885448085,0.0,0.030736889690031115,0.0,0.0,0.0,0.0,0.73
1,0.0,0.030831066213056858,0.030736889690031115,0.0,0.0,0.0,0.0,0.5
1,0.031489832885448085,0.0,0.03512787393146413,0.0,0.0,0.0,0.0,0.71
1,0.0,0.030831066213056858,0.03512787393146413,0.0,0.0,0.0,0.0,0.43
1,0.031489832885448085,0.0,0.03951885817289715,0.0,0.0,0.0,0.0,0.69
1,0.0,0.030831066213056858,0.03951885817289715,0.0,0.0,0.0,0.0,0.38
1,0.03498870320605343,0.010277022071018953,0.0,0.0,0.0,0.0,0.0,0.74
13,0.03498870320605343,0.0,0.007318307069055027,0.0,0.0,0.0,0.0,0.75
1,0.03498870320605343,0.020554044142037906,0.0,0.0,0.0,0.0,0.0,0.72
13,0.03498870320605343,0.0,0.014636614138110054,0.0,0.0,0.0,0.0,0.75
1,0.03498870320605343,0.030831066213056858,0.0,0.0,0.0,0.0,0.0,0.63
13,0.03498870320605343,0.0,0.021954921207165082,0.0,0.0,0.0,0.0,0.74
1,0.03498870320605343,0.04110808828407581,0.0,0.0,0.0,0.0,0.0,0.49
13,0.03498870320605343,0.0,0.029273228276220108,0.0,0.0,0.0,0.0,0.715
1,0.03498870320605343,0.051385110355094764,0.0,0.0,0.0,0.0,0.0,0.36
13,0.03498870320605343,0.0,0.036591535345275136,0.0,0.0,0.0,0.0,0.67
1,0.04198644384726412,0.04110808828407581,0.0,0.0,0.0,0.0,0.0,0.48
13,0.04198644384726412,0.0,0.0043909842414330165,0.0,0.0,0.0,0.0,0.665
1,0.0,0.04110808828407581,0.0043909842414330165,0.0,0.0,0.0,0.0,0.68
13,0.04198644384726412,0.0,0.008781968482866033,0.0,0.0,0.0,0.0,0.6699999999999999
1,0.0,0.04110808828407581,0.008781968482866033,0.0,0.0,0.0,0.0,0.65
13,0.04198644384726412,0.0,0.01317295272429905,0.0,0.0,0.0,0.0,0.69
1,0.0,0.04110808828407581,0.01317295272429905,0.0,0.0,0.0,0.0,0.61
13,0.04198644384726412,0.0,0.017563936965732066,0.0,0.0,0.0,0.0,0.7
1,0.0,0.04110808828407581,0.017563936965732066,0.0,0.0,0.0,0.0,0.6
13,0.04198644384726412,0.0,0.021954921207165082,0.0,0.0,0.0,0.0,0.7
1,0.0,0.04110808828407581,0.021954921207165082,0.0,0.0,0.0,0.0,0.57
13,0.04198644384726412,0.0,0.0263459054485981,0.0,0.0,0.0,0.0,0.69
1,0.0,0.04110808828407581,0.0263459054485981,0.0,0.0,0.0,0.0,0.51
13,0.04198644384726412,0.0,0.030736889690031115,0.0,0.0,0.0,0.0,0.675
1,0.0,0.04110808828407581,0.030736889690031115,0.0,0.0,0.0,0.0,0.42
13,0.04198644384726412,0.0,0.03512787393146413,0.0,0.0,0.0,0.0,0.66
1,0.0,0.04110808828407581,0.03512787393146413,0.0,0.0,0.0,0.0,0.38
13,0.04198644384726412,0.0,0.03951885817289715,0.0,0.0,0.0,0.0,0.64
1,0.0,0.04110808828407581,0.03951885817289715,0.0,0.0,0.0,0.0,0.35
1,0.043735879007566786,0.010277022071018953,0.0,0.0,0.0,0.0,0.0,0.59
13,0.043735879007566786,0.0,0.007318307069055027,0.0,0.0,0.0,0.0,0.655
1,0.043735879007566786,0.020554044142037906,0.0,0.0,0.0,0.0,0.0,0.66
